0,0
0.5,0.680460574600351
1,1.10397470320823
1.5,1.09465223289508
2,1.15769453402795
2.5,1.2187690432663
3,1.27738391773648
3.5,1.33327619292507
4,1.38744363510232
4.5,1.44188681188527
5,1.49793498962145
5.5,1.55410505750189
6,1.60681288663935
6.5,1.65861055824093
7,1.71099989611786
1,1.75066744196225
1.5,1.97656360299308
2,2.08598737977635
2.5,2.11707420345083
3,2.19613010502208
3.5,3.32656140475936
4.5,3.85882223232866
5,4.41229770402937
5.5,4.71523357246304
6,4.86694130121152
6.5,4.9380103345502
7,5.04368188777808
7.5,5.24138447427042
8,5.33272387917571
